Order ID,Дата создания,User ID,ID продукта,Оплачен,Дата платежа,Сумма платежа,Сумма заказа,Сумма скидки
order1,1/1/2019,id13276,product2,да,1/1/2019,4050,4050,0
order3,1/1/2019,id10315,product1,да,1/1/2019,4300,4300,0
order4,1/1/2019,id10036,product4,да,1/1/2019,4300,4300,0
order6,1/1/2019,id12315,product3,да,1/1/2019,4200,4200,0
order7,1/1/2019,id7700,product2,да,1/1/2019,4050,4050,0
order8,1/1/2019,id5591,product4,да,1/1/2019,4300,4300,0
order9,1/2/2019,id7962,product2,да,1/2/2019,4050,4050,0
order10,1/2/2019,id11652,product2,да,1/2/2019,3240,4050,810
order11,1/2/2019,id11058,product2,да,1/2/2019,4050,4050,0
order13,1/2/2019,id12516,product2,да,1/2/2019,4050,4050,0
order14,1/2/2019,id11959,product2,да,1/2/2019,4050,4050,0
order17,1/2/2019,id8863,product4,да,1/2/2019,4300,4300,0
order20,1/2/2019,id10366,product4,да,1/2/2019,4300,4300,0
order21,1/2/2019,id2613,product4,да,1/2/2019,4300,4300,0
order25,1/3/2019,id9807,product3,да,1/3/2019,4200,4200,0
order27,1/3/2019,id9460,product2,да,1/3/2019,4050,4050,0
order29,1/3/2019,id12088,product3,да,1/3/2019,4200,4200,0
order30,1/3/2019,id234,product3,да,1/3/2019,3360,4200,840
order32,1/3/2019,id14348,product2,да,1/3/2019,4050,4050,0
order33,1/3/2019,id1772,product3,да,1/3/2019,4200,4200,0
order34,1/3/2019,id9173,product2,да,1/3/2019,4050,4050,0
order35,1/3/2019,id664,product2,да,1/3/2019,4050,4050,0
order37,1/3/2019,id11316,product1,да,1/3/2019,4300,4300,0
order40,1/4/2019,id7373,product4,да,1/4/2019,4300,4300,0
order42,1/4/2019,id174,product2,да,1/4/2019,4050,4050,0
order43,1/4/2019,id1347,product2,да,1/4/2019,4050,4050,0
order45,1/4/2019,id4323,product2,да,1/4/2019,4050,4050,0
order50,1/4/2019,id4061,product4,да,1/4/2019,4300,4300,0
order54,1/5/2019,id6878,product2,да,1/5/2019,4050,4050,0
order58,1/5/2019,id2855,product2,да,1/5/2019,3240,4050,810
order59,1/5/2019,id11712,product2,да,1/5/2019,4050,4050,0
order60,1/5/2019,id986,product2,да,1/5/2019,4050,4050,0
order61,1/5/2019,id14207,product2,да,1/5/2019,4050,4050,0
order64,1/6/2019,id12600,product2,да,1/6/2019,4050,4050,0
order65,1/6/2019,id510,product2,да,1/6/2019,"934,6153846",4050,"3115,384615"
order66,1/6/2019,id8103,product4,да,1/6/2019,3440,4300,860
order69,1/6/2019,id8018,product4,да,1/6/2019,4300,4300,0
order71,1/6/2019,id6509,product2,да,1/6/2019,4050,4050,0
order72,1/6/2019,id3993,product2,да,1/6/2019,4050,4050,0
order73,1/6/2019,id5519,product2,да,1/6/2019,4050,4050,0
order74,1/7/2019,id7779,product1,да,1/7/2019,4300,4300,0
order75,1/7/2019,id12968,product4,да,1/7/2019,4300,4300,0
order76,1/7/2019,id5985,product4,да,1/7/2019,4300,4300,0
order77,1/7/2019,id5145,product2,да,1/7/2019,4050,4050,0
order78,1/7/2019,id8459,product3,да,1/7/2019,4200,4200,0
order79,1/7/2019,id6660,product2,да,1/7/2019,4050,4050,0
order81,1/7/2019,id7532,product4,да,1/7/2019,4300,4300,0
order82,1/7/2019,id1708,product2,да,1/7/2019,4050,4050,0
order84,1/8/2019,id12537,product2,да,1/8/2019,4050,4050,0
order85,1/8/2019,id11777,product2,да,1/8/2019,4050,4050,0
order86,1/8/2019,id14409,product2,да,1/8/2019,4050,4050,0
order90,1/8/2019,id14297,product2,да,1/8/2019,3240,4050,810
order92,1/9/2019,id12814,product2,да,1/9/2019,1050,4050,3000
order100,1/9/2019,id6778,product3,да,1/9/2019,4200,4200,0
order101,1/9/2019,id6088,product2,да,1/9/2019,4050,4050,0
order105,1/10/2019,id3798,product4,да,1/10/2019,4300,4300,0
order106,1/10/2019,id14283,product4,да,1/10/2019,4300,4300,0
order110,1/10/2019,id7769,product2,да,1/10/2019,4050,4050,0
order111,1/11/2019,id13928,product2,да,1/11/2019,4050,4050,0
order112,1/11/2019,id13133,product4,да,1/11/2019,4300,4300,0
order116,1/11/2019,id9106,product4,да,1/11/2019,4300,4300,0
order117,1/11/2019,id9184,product4,да,1/11/2019,4300,4300,0
order119,1/11/2019,id13496,product4,да,1/11/2019,4300,4300,0
order120,1/11/2019,id6391,product4,да,1/11/2019,4300,4300,0
order123,1/11/2019,id12400,product5,да,1/11/2019,3900,3900,0
order125,1/11/2019,id4790,product2,да,1/11/2019,3240,4050,810
order127,1/11/2019,id1665,product5,да,1/11/2019,3900,3900,0
order129,1/11/2019,id11302,product3,да,1/11/2019,3780,4200,420
order133,1/11/2019,id2570,product3,да,1/11/2019,3360,4200,840
order134,1/11/2019,id8901,product2,да,1/11/2019,4050,4050,0
order135,1/12/2019,id12784,product3,да,1/12/2019,4200,4200,0
order136,1/12/2019,id14134,product1,да,1/12/2019,4300,4300,0
order137,1/12/2019,id11586,product3,да,1/12/2019,4200,4200,0
order138,1/12/2019,id12114,product2,да,1/12/2019,4050,4050,0
order139,1/12/2019,id3817,product3,да,1/12/2019,3360,4200,840
order142,1/13/2019,id9990,product2,да,1/13/2019,3240,4050,810
order143,1/13/2019,id94,product3,да,1/13/2019,4200,4200,0
order145,1/13/2019,id12025,product5,да,1/13/2019,3900,3900,0
order147,1/13/2019,id1763,product3,да,1/13/2019,4200,4200,0
order148,1/13/2019,id12809,product3,да,1/13/2019,3360,4200,840
order150,1/13/2019,id10139,product3,да,1/13/2019,4200,4200,0
order151,1/14/2019,id3896,product3,да,1/14/2019,4200,4200,0
order154,1/14/2019,id7401,product3,да,1/14/2019,3360,4200,840
order158,1/14/2019,id4431,product4,да,1/14/2019,4300,4300,0
order157,1/14/2019,id1710,product3,да,1/14/2019,4200,4200,0
order159,1/14/2019,id5708,product3,да,1/14/2019,4200,4200,0
order160,1/14/2019,id5587,product4,да,1/14/2019,4300,4300,0
order161,1/14/2019,id9560,product3,да,1/14/2019,4200,4200,0
order162,1/14/2019,id5489,product3,да,1/14/2019,4200,4200,0
order167,1/15/2019,id5602,product5,да,1/15/2019,3900,3900,0
order168,1/15/2019,id605,product3,да,1/15/2019,4200,4200,0
order169,1/15/2019,id9153,product3,да,1/15/2019,4200,4200,0
order170,1/15/2019,id1304,product5,да,1/15/2019,3900,3900,0
order171,1/15/2019,id729,product3,да,1/15/2019,4200,4200,0
order172,1/16/2019,id146,product3,да,1/16/2019,4200,4200,0
order173,1/16/2019,id1380,product5,да,1/16/2019,3900,3900,0
order176,1/16/2019,id3174,product3,да,1/16/2019,4200,4200,0
order177,1/16/2019,id864,product4,да,1/16/2019,4300,4300,0
order178,1/16/2019,id3431,product3,да,1/16/2019,4200,4200,0
